,CO2_DO_avg,CO2_DO_stop,CO2_DI_avg,CO2_DI_stop,CO2_UI_avg,CO2_UI_stop,CO2_UO_avg,CO2_UO_stop
2015-01-19 08:00:00,822.491817572,2015-01-19 10:00:00,620.649944109,2015-01-19 10:00:00,660.274324324,2015-01-19 08:01:40,540.607243461,2015-01-19 10:00:00
2015-01-19 11:00:00,739.126939414,2015-01-19 13:00:00,559.644220881,2015-01-19 13:00:00,,,520.642790074,2015-01-19 13:00:00
2015-01-19 14:00:00,735.77590523,2015-01-19 16:00:00,562.518063939,2015-01-19 16:00:00,,,525.94459097,2015-01-19 16:00:00
2015-01-19 17:00:00,778.649653476,2015-01-19 19:00:00,590.559602057,2015-01-19 19:00:00,,,518.489961994,2015-01-19 19:00:00
2015-01-20 08:00:00,815.182159624,2015-01-20 10:00:00,700.205253745,2015-01-20 10:00:00,,,,
2015-01-20 11:00:00,743.629590118,2015-01-20 11:48:20,635.822908478,2015-01-20 11:48:20,,,,
2015-01-21 08:00:00,855.546578712,2015-01-21 10:00:00,675.547450805,2015-01-21 10:00:00,587.675117371,2015-01-21 10:00:00,683.234853566,2015-01-21 10:00:00
2015-01-21 11:00:00,767.89637827,2015-01-21 13:00:00,602.196422182,2015-01-21 13:00:00,540.828593785,2015-01-21 13:00:00,631.919763023,2015-01-21 13:00:00
2015-01-21 14:00:00,809.350447227,2015-01-21 16:00:00,643.315090543,2015-01-21 16:00:00,567.880800179,2015-01-21 16:00:00,659.828073312,2015-01-21 16:00:00
2015-01-21 17:00:00,828.216592129,2015-01-21 19:00:00,654.686493739,2015-01-21 19:00:00,574.629613925,2015-01-21 19:00:00,669.90608093,2015-01-21 19:00:00
2015-01-22 08:00:00,823.290585868,2015-01-22 10:00:00,642.306328265,2015-01-22 10:00:00,555.770802593,2015-01-22 10:00:00,653.308206958,2015-01-22 10:00:00
2015-01-22 11:00:00,718.152693941,2015-01-22 13:00:00,563.659177286,2015-01-22 13:00:00,497.824368433,2015-01-22 13:00:00,585.508182428,2015-01-22 13:00:00
2015-01-22 14:00:00,721.260465116,2015-01-22 16:00:00,563.979852415,2015-01-22 16:00:00,492.2885759,2015-01-22 16:00:00,585.234026381,2015-01-22 16:00:00
2015-01-22 17:00:00,763.907423971,2015-01-22 19:00:00,605.176945438,2015-01-22 19:00:00,523.638743573,2015-01-22 19:00:00,615.458081824,2015-01-22 19:00:00
2015-01-23 08:00:00,853.077839893,2015-01-23 10:00:00,662.491234347,2015-01-23 10:00:00,572.380438185,2015-01-23 10:00:00,675.679968701,2015-01-23 10:00:00
2015-01-23 11:00:00,741.503600179,2015-01-23 13:00:00,572.11726297,2015-01-23 13:00:00,508.314814815,2015-01-23 12:00:00,599.427513228,2015-01-23 12:01:40
2015-01-23 14:00:00,744.657468694,2015-01-23 16:00:00,572.967486583,2015-01-23 16:00:00,,,,
2015-01-23 17:00:00,772.22137746,2015-01-23 19:00:00,604.454907221,2015-01-23 19:00:00,,,,
2015-01-24 08:00:00,766.312254025,2015-01-24 10:00:00,602.51759839,2015-01-24 10:00:00,,,,
2015-01-24 11:00:00,735.75509839,2015-01-24 13:00:00,571.836471377,2015-01-24 13:00:00,,,,
2015-01-24 14:00:00,735.853051643,2015-01-24 16:00:00,574.088148479,2015-01-24 16:00:00,,,,
2015-01-24 17:00:00,774.797942755,2015-01-24 19:00:00,606.844476744,2015-01-24 19:00:00,,,,
2015-01-25 08:00:00,639.003810296,2015-01-25 09:06:40,504.231442464,2015-01-25 09:06:40,,,,
2015-01-26 08:00:00,791.246210597,2015-01-26 10:00:00,610.192756539,2015-01-26 10:00:00,,,646.328018784,2015-01-26 10:00:00
2015-01-26 11:00:00,715.548043818,2015-01-26 13:00:00,552.895931142,2015-01-26 13:00:00,,,600.359563085,2015-01-26 13:00:00
2015-01-26 14:00:00,720.019445686,2015-01-26 16:00:00,559.240509725,2015-01-26 16:00:00,,,605.126632379,2015-01-26 16:00:00
2015-01-26 17:00:00,748.525620389,2015-01-26 19:00:00,580.329309188,2015-01-26 19:00:00,,,624.432781753,2015-01-26 19:00:00
2015-01-27 08:00:00,818.669617706,2015-01-27 10:00:00,633.912005366,2015-01-27 10:00:00,564.169617706,2015-01-27 10:00:00,675.454673524,2015-01-27 10:00:00
2015-01-27 11:00:00,717.147149564,2015-01-27 13:00:00,549.816409569,2015-01-27 13:00:00,506.698949016,2015-01-27 13:00:00,609.174418605,2015-01-27 13:00:00
2015-01-27 14:00:00,698.372194904,2015-01-27 16:00:00,537.740934496,2015-01-27 16:00:00,497.750245975,2015-01-27 16:00:00,596.812678891,2015-01-27 16:00:00
2015-01-27 17:00:00,747.773753633,2015-01-27 19:00:00,574.201632014,2015-01-27 19:00:00,522.107021467,2015-01-27 19:00:00,625.242253521,2015-01-27 19:00:00
2015-01-28 08:00:00,760.303846154,2015-01-28 10:00:00,748.339847943,2015-01-28 10:00:00,,,,
2015-01-28 11:00:00,698.299354839,2015-01-28 12:23:20,696.4941898,2015-01-28 12:23:20,,,,
2015-01-29 08:00:00,768.810507489,2015-01-29 10:00:00,772.093628437,2015-01-29 10:00:00,531.016722558,2015-01-29 10:00:00,644.228638498,2015-01-29 10:00:00
2015-01-29 11:00:00,682.412921976,2015-01-29 13:00:00,683.187458082,2015-01-29 13:00:00,484.460675162,2015-01-29 13:00:00,588.082852672,2015-01-29 13:00:00
2015-01-29 14:00:00,710.154683658,2015-01-29 16:00:00,709.852403309,2015-01-29 16:00:00,503.530046948,2015-01-29 16:00:00,606.95098346,2015-01-29 16:00:00
2015-01-29 17:00:00,751.878672032,2015-01-29 19:00:00,753.942914618,2015-01-29 19:00:00,525.710080465,2015-01-29 19:00:00,637.288665325,2015-01-29 19:00:00
2015-01-30 08:00:00,841.836642075,2015-01-30 10:00:00,838.973239437,2015-01-30 10:00:00,570.630420206,2015-01-30 10:00:00,690.954102392,2015-01-30 10:00:00
2015-01-30 11:00:00,720.054907221,2015-01-30 13:00:00,715.144399732,2015-01-30 13:00:00,503.82193159,2015-01-30 13:00:00,613.12344658,2015-01-30 13:00:00
2015-01-30 14:00:00,739.477156907,2015-01-30 16:00:00,735.039651319,2015-01-30 16:00:00,514.675050302,2015-01-30 16:00:00,623.766979656,2015-01-30 16:00:00
2015-01-30 17:00:00,792.954437738,2015-01-30 19:00:00,790.669215292,2015-01-30 19:00:00,552.023178364,2015-01-30 19:00:00,666.528213727,2015-01-30 19:00:00
2015-01-31 08:00:00,750.874379611,2015-01-31 10:00:00,748.500424771,2015-01-31 10:00:00,522.840612427,2015-01-31 10:00:00,633.994969819,2015-01-31 10:00:00
2015-01-31 11:00:00,742.996333557,2015-01-31 13:00:00,737.963044936,2015-01-31 13:00:00,,,,
2015-01-31 14:00:00,706.153531515,2015-01-31 16:00:00,701.481936061,2015-01-31 16:00:00,,,,
2015-01-31 17:00:00,733.676570534,2015-01-31 19:00:00,730.569505924,2015-01-31 19:00:00,,,,
2015-02-01 08:00:00,628.62393831,2015-02-01 10:00:00,614.646478873,2015-02-01 10:00:00,,,,
2015-02-01 11:00:00,656.92193159,2015-02-01 13:00:00,645.77131679,2015-02-01 13:00:00,,,,
2015-02-01 14:00:00,666.129555108,2015-02-01 16:00:00,657.284059915,2015-02-01 16:00:00,,,,
2015-02-01 17:00:00,700.343572546,2015-02-01 19:00:00,685.333057667,2015-02-01 19:00:00,,,,
2015-02-02 08:00:00,789.862706197,2015-02-02 10:00:00,770.130196692,2015-02-02 10:00:00,,,652.774552773,2015-02-02 10:00:00
2015-02-02 11:00:00,703.55064819,2015-02-02 13:00:00,686.540107311,2015-02-02 13:00:00,,,598.662768336,2015-02-02 13:00:00
2015-02-02 14:00:00,725.606751621,2015-02-02 16:00:00,705.842207358,2015-02-02 16:00:00,,,612.163380282,2015-02-02 16:00:00
2015-02-02 17:00:00,750.316051867,2015-02-02 19:00:00,727.647898972,2015-02-02 19:00:00,,,625.455813953,2015-02-02 19:00:00
2015-02-03 08:00:00,788.80804829,2015-02-03 10:00:00,765.354638945,2015-02-03 10:00:00,519.420863148,2015-02-03 10:00:00,650.398658318,2015-02-03 10:00:00
2015-02-03 11:00:00,701.287170317,2015-02-03 13:00:00,683.694634474,2015-02-03 13:00:00,473.257133274,2015-02-03 13:00:00,593.231529517,2015-02-03 13:00:00
2015-02-03 14:00:00,720.437178627,2015-02-03 16:00:00,698.808962897,2015-02-03 16:00:00,485.196288014,2015-02-03 16:00:00,606.952593918,2015-02-03 16:00:00
2015-02-03 17:00:00,778.621529175,2015-02-03 19:00:00,754.082114912,2015-02-03 19:00:00,522.25131932,2015-02-03 19:00:00,650.223971377,2015-02-03 19:00:00
2015-02-04 08:00:00,823.867940979,2015-02-04 10:00:00,784.753844435,2015-02-04 10:00:00,530.855264923,2015-02-04 10:00:00,663.761019222,2015-02-04 10:00:00
2015-02-04 11:00:00,744.499105945,2015-02-04 13:00:00,709.656651017,2015-02-04 13:00:00,493.771517997,2015-02-04 13:00:00,619.652023251,2015-02-04 13:00:00
2015-02-04 14:00:00,754.040330874,2015-02-04 16:00:00,719.726872345,2015-02-04 16:00:00,499.063044936,2015-02-04 16:00:00,,
2015-02-04 17:00:00,764.655130785,2015-02-04 19:00:00,732.407489381,2015-02-04 19:00:00,505.32295485,2015-02-04 19:00:00,,
2015-02-05 08:00:00,810.752761011,2015-02-05 10:00:00,773.659490275,2015-02-05 10:00:00,534.74527163,2015-02-05 10:00:00,657.527213775,2015-02-05 10:00:00
2015-02-05 11:00:00,735.297250168,2015-02-05 13:00:00,705.274312542,2015-02-05 13:00:00,501.745214669,2015-02-05 13:00:00,612.71381932,2015-02-05 13:00:00
2015-02-05 14:00:00,731.408383635,2015-02-05 16:00:00,698.355443774,2015-02-05 16:00:00,501.196601073,2015-02-05 16:00:00,608.017374776,2015-02-05 16:00:00
2015-02-05 17:00:00,761.67543036,2015-02-05 19:00:00,732.204739548,2015-02-05 19:00:00,513.872025939,2015-02-05 19:00:00,629.163394454,2015-02-05 19:00:00
2015-02-06 08:00:00,798.365168791,2015-02-06 10:00:00,765.334875922,2015-02-06 10:00:00,536.236091234,2015-02-06 10:00:00,650.538752236,2015-02-06 10:00:00
2015-02-06 11:00:00,728.760496311,2015-02-06 13:00:00,701.201072865,2015-02-06 13:00:00,500.819991055,2015-02-06 13:00:00,609.283948133,2015-02-06 13:00:00
2015-02-06 14:00:00,738.318261064,2015-02-06 16:00:00,706.195484015,2015-02-06 16:00:00,509.207891795,2015-02-06 16:00:00,616.564288909,2015-02-06 16:00:00
2015-02-06 17:00:00,776.937513973,2015-02-06 19:00:00,747.922892913,2015-02-06 19:00:00,529.340921288,2015-02-06 19:00:00,642.49072211,2015-02-06 19:00:00
2015-02-07 08:00:00,746.980997094,2015-02-07 10:00:00,719.170742065,2015-02-07 10:00:00,508.838953488,2015-02-07 10:00:00,619.665146434,2015-02-07 10:00:00
2015-02-07 11:00:00,732.099575229,2015-02-07 13:00:00,705.272389895,2015-02-07 13:00:00,498.721042039,2015-02-07 13:00:00,606.84112254,2015-02-07 13:00:00
2015-02-07 14:00:00,750.295485025,2015-02-07 16:00:00,723.432640286,2015-02-07 16:00:00,511.831924883,2015-02-07 16:00:00,621.860353309,2015-02-07 16:00:00
2015-02-07 17:00:00,798.679320367,2015-02-07 19:00:00,769.633959311,2015-02-07 19:00:00,545.257133274,2015-02-07 19:00:00,662.543067979,2015-02-07 19:00:00
2015-02-08 08:00:00,621.505878409,2015-02-08 10:00:00,600.075139727,2015-02-08 10:00:00,444.995080501,2015-02-08 10:00:00,540.412857782,2015-02-08 10:00:00
2015-02-08 11:00:00,658.264654594,2015-02-08 13:00:00,634.050950145,2015-02-08 13:00:00,461.386739714,2015-02-08 13:00:00,560.395773703,2015-02-08 13:00:00
2015-02-08 14:00:00,661.86105522,2015-02-08 16:00:00,639.868350469,2015-02-08 16:00:00,462.393986139,2015-02-08 16:00:00,562.22752068,2015-02-08 16:00:00
2015-02-08 17:00:00,700.955175497,2015-02-08 19:00:00,677.662843729,2015-02-08 19:00:00,481.80822898,2015-02-08 19:00:00,584.489333631,2015-02-08 19:00:00
2015-02-09 08:00:00,,,,,492.299821149,2015-02-09 10:00:00,637.464244186,2015-02-09 10:00:00
2015-02-09 11:00:00,,,,,462.516346154,2015-02-09 13:00:00,602.278001341,2015-02-09 13:00:00
2015-02-09 14:00:00,,,,,472.150044723,2015-02-09 16:00:00,609.711784436,2015-02-09 16:00:00
2015-02-09 17:00:00,,,,,484.101207513,2015-02-09 19:00:00,625.1163926,2015-02-09 18:45:00
2015-02-10 08:00:00,812.076632379,2015-02-10 10:00:00,803.744802146,2015-02-10 10:00:00,541.52122093,2015-02-10 10:00:00,651.162195395,2015-02-10 10:00:00
2015-02-10 11:00:00,718.956740443,2015-02-10 13:00:00,711.306507156,2015-02-10 13:00:00,495.945796064,2015-02-10 13:00:00,597.3730322,2015-02-10 13:00:00
2015-02-10 14:00:00,721.443738819,2015-02-10 16:00:00,712.056149374,2015-02-10 16:00:00,501.518868768,2015-02-10 16:00:00,600.321757603,2015-02-10 16:00:00
2015-02-10 17:00:00,764.477497207,2015-02-10 19:00:00,756.737139665,2015-02-10 19:00:00,522.153600179,2015-02-10 19:00:00,625.482647585,2015-02-10 19:00:00
2015-02-11 08:00:00,820.27395484,2015-02-11 10:00:00,818.093114241,2015-02-11 10:00:00,531.779414394,2015-02-11 10:00:00,,
2015-02-11 11:00:00,733.670668455,2015-02-11 13:00:00,729.504404203,2015-02-11 13:00:00,480.974386982,2015-02-11 13:00:00,,
2015-02-11 14:00:00,763.10024592,2015-02-11 16:00:00,758.098502459,2015-02-11 16:00:00,501.67297116,2015-02-11 16:00:00,,
2015-02-11 17:00:00,800.017795663,2015-02-11 19:00:00,795.462486027,2015-02-11 19:00:00,524.096177062,2015-02-11 19:00:00,,
2015-02-12 08:00:00,820.248714509,2015-02-12 10:00:00,820.349161636,2015-02-12 10:00:00,517.060576923,2015-02-12 10:00:00,676.354472272,2015-02-12 10:00:00
2015-02-12 11:00:00,720.523027051,2015-02-12 13:00:00,718.01652135,2015-02-12 13:00:00,469.655836315,2015-02-12 13:00:00,605.24588551,2015-02-12 13:00:00
2015-02-12 14:00:00,709.473731277,2015-02-12 16:00:00,705.208227141,2015-02-12 16:00:00,463.798077353,2015-02-12 16:00:00,594.004203936,2015-02-12 16:00:00
2015-02-12 17:00:00,749.355086072,2015-02-12 19:00:00,747.021909233,2015-02-12 19:00:00,483.275424866,2015-02-12 19:00:00,618.752783367,2015-02-12 19:00:00
2015-02-13 08:00:00,792.325128549,2015-02-13 10:00:00,790.463402638,2015-02-13 10:00:00,501.574351521,2015-02-13 10:00:00,644.483277442,2015-02-13 10:00:00
2015-02-13 11:00:00,706.446210597,2015-02-13 13:00:00,702.02917505,2015-02-13 13:00:00,454.528398927,2015-02-13 13:00:00,588.739333631,2015-02-13 13:00:00
2015-02-13 14:00:00,719.267277604,2015-02-13 16:00:00,714.156360385,2015-02-13 16:00:00,462.999530411,2015-02-13 16:00:00,596.395819361,2015-02-13 16:00:00
2015-02-13 17:00:00,754.584708249,2015-02-13 19:00:00,751.095126313,2015-02-13 19:00:00,485.612857782,2015-02-13 19:00:00,622.227817531,2015-02-13 19:00:00
2015-02-14 08:00:00,715.885647217,2015-02-14 10:00:00,713.859691482,2015-02-14 10:00:00,461.630769231,2015-02-14 10:00:00,596.658966905,2015-02-14 10:00:00
2015-02-14 11:00:00,715.026089873,2015-02-14 13:00:00,711.316744914,2015-02-14 13:00:00,458.544946333,2015-02-14 13:00:00,595.133631485,2015-02-14 13:00:00
2015-02-14 14:00:00,728.154147105,2015-02-14 16:00:00,724.536575006,2015-02-14 16:00:00,464.495930233,2015-02-14 16:00:00,603.608251342,2015-02-14 16:00:00
2015-02-14 17:00:00,743.579454505,2015-02-14 19:00:00,740.239257769,2015-02-14 19:00:00,476.015943649,2015-02-14 19:00:00,613.169253131,2015-02-14 19:00:00
2015-02-15 08:00:00,623.694680376,2015-02-15 10:00:00,618.079481448,2015-02-15 10:00:00,418.988685152,2015-02-15 10:00:00,542.661829159,2015-02-15 10:00:00
2015-02-15 11:00:00,675.35841717,2015-02-15 13:00:00,671.222669349,2015-02-15 13:00:00,442.257567628,2015-02-15 13:00:00,574.57543036,2015-02-15 13:00:00
2015-02-15 14:00:00,696.109389671,2015-02-15 16:00:00,693.093650794,2015-02-15 16:00:00,453.687186941,2015-02-15 16:00:00,592.156507156,2015-02-15 16:00:00
2015-02-15 17:00:00,744.880643719,2015-02-15 19:00:00,741.672993517,2015-02-15 19:00:00,475.094610912,2015-02-15 19:00:00,622.439825581,2015-02-15 19:00:00
2015-02-16 08:00:00,884.843281914,2015-02-16 10:00:00,844.491191594,2015-02-16 10:00:00,665.657938283,2015-02-16 10:00:00,701.671981216,2015-02-16 10:00:00
2015-02-16 11:00:00,775.486340264,2015-02-16 13:00:00,739.980952381,2015-02-16 13:00:00,589.964020572,2015-02-16 13:00:00,621.797003578,2015-02-16 13:00:00
2015-02-16 14:00:00,781.667516208,2015-02-16 16:00:00,746.388710038,2015-02-16 16:00:00,600.87641404,2015-02-16 16:00:00,634.602571556,2015-02-16 16:00:00
2015-02-16 17:00:00,845.402235636,2015-02-16 19:00:00,808.429488039,2015-02-16 19:00:00,633.156283542,2015-02-16 19:00:00,669.557746479,2015-02-16 19:00:00
2015-02-17 08:00:00,847.652649229,2015-02-17 10:00:00,809.772121619,2015-02-17 10:00:00,634.797898032,2015-02-17 10:00:00,675.664341605,2015-02-17 10:00:00
2015-02-17 11:00:00,729.156025039,2015-02-17 13:00:00,696.492711827,2015-02-17 13:00:00,554.21744186,2015-02-17 13:00:00,590.151744186,2015-02-17 13:00:00
2015-02-17 14:00:00,720.555543138,2015-02-17 16:00:00,688.051509054,2015-02-17 16:00:00,549.097764364,2015-02-17 16:00:00,580.585889982,2015-02-17 16:00:00
2015-02-17 17:00:00,766.853610552,2015-02-17 19:00:00,733.76541471,2015-02-17 19:00:00,575.363349732,2015-02-17 19:00:00,609.282181981,2015-02-17 19:00:00
2015-02-18 08:00:00,715.611021686,2015-02-18 10:00:00,683.90359857,2015-02-18 10:00:00,541.812813059,2015-02-18 10:00:00,577.351050984,2015-02-18 10:00:00
2015-02-18 11:00:00,666.159915046,2015-02-18 13:00:00,636.612497205,2015-02-18 13:00:00,515.128957961,2015-02-18 13:00:00,550.058944544,2015-02-18 13:00:00
2015-02-18 14:00:00,663.032565937,2015-02-18 16:00:00,633.379096803,2015-02-18 16:00:00,512.546958855,2015-02-18 16:00:00,545.694097921,2015-02-18 16:00:00
2015-02-18 17:00:00,721.314397496,2015-02-18 19:00:00,689.624211938,2015-02-18 19:00:00,543.862544723,2015-02-18 19:00:00,579.717777281,2015-02-18 19:00:00
2015-02-19 08:00:00,583.452917505,2015-02-19 10:00:00,557.106103286,2015-02-19 10:00:00,467.341882826,2015-02-19 10:00:00,500.767240608,2015-02-19 10:00:00
2015-02-19 11:00:00,683.98397049,2015-02-19 13:00:00,654.199217527,2015-02-19 13:00:00,517.911222893,2015-02-19 13:00:00,552.718202147,2015-02-19 13:00:00
2015-02-19 14:00:00,716.449944109,2015-02-19 16:00:00,684.916633132,2015-02-19 16:00:00,536.93372093,2015-02-19 16:00:00,572.827146691,2015-02-19 16:00:00
2015-02-19 17:00:00,726.621395037,2015-02-19 19:00:00,694.63623966,2015-02-19 19:00:00,546.172249553,2015-02-19 19:00:00,581.963685032,2015-02-19 19:00:00
